Descrição,Calorias (Kcal)
Arroz integral cozido,124
Arroz integral cru,360
Arroz tipo 1 cozido,128
Arroz tipo 1 cru,358
Arroz tipo 2 cozido,130
Arroz tipo 2 cru,358
Aveia flocos crua,394
Biscoito doce maisena,443
Biscoito doce recheado com chocolate,472
Biscoito doce recheado com morango,471
Biscoito doce wafer recheado de chocolate,502
Biscoito doce wafer recheado de morango,513
Biscoito salgado cream cracker,432
Bolo mistura para,419
Bolo pronto aipim,324
Bolo pronto chocolate,410
Bolo pronto coco,333
Bolo pronto milho,311
Canjica branca crua,358
Canjica com leite integral,112
Cereais milho flocos com sal,370
Cereais milho flocos sem sal,363
Cereais mingau milho infantil,394
Cereais mistura para vitamina trigo cevada e aveia,381
Cereal matinal milho,365
Cereal matinal milho açúcar,377
Creme de arroz pó,386
Creme de milho pó,333
Curau milho verde,78
Curau milho verde mistura para,402
Farinha de arroz enriquecida,363
Farinha de centeio integral,336
Farinha de milho amarela,351
Farinha de rosca,371
Farinha de trigo,360
Farinha láctea de cereais,415
Lasanha massa fresca cozida,164
Lasanha massa fresca crua,220
Macarrão instantâneo,436
Macarrão trigo cru,371
Macarrão trigo cru com ovos,371
Milho amido cru,361
Milho fubá cru,353
Milho verde cru,138
Milho verde enlatado drenado,98
Mingau tradicional pó,373
Pamonha barra para cozimento pré-cozida,171
Pão aveia forma,343
Pão de soja,309
Pão glúten forma,253
Pão milho forma,292
Pão trigo forma integral,253
Pão trigo francês,300
Pão trigo sovado,311
Pastel de carne cru,289
Pastel de carne frito,388
Pastel de queijo cru,308
Pastel de queijo frito,422
Pastel massa crua,310
Pastel massa frita,570
Pipoca com óleo de soja sem sal,448
Polenta pré-cozida,103
Torrada pão francês,377
Abóbora cabotian cozida,48
Abóbora cabotian crua,39
Abóbora menina brasileira crua,14
Abóbora moranga crua,12
Abóbora moranga refogada,29
Abóbora pescoço crua,24
Abobrinha italiana cozida,15
Abobrinha italiana crua,19
Abobrinha italiana refogada,24
Abobrinha paulista crua,31
Acelga crua,21
Agrião cru,17
Aipo cru,19
Alface americana crua,9
Alface crespa crua,11
Alface lisa crua,14
Alface roxa crua,13
Alfavaca crua,29
Alho cru,113
Alho-poró cru,32
Almeirão cru,18
Almeirão refogado,65
Batata baroa cozida,80
Batata baroa crua,101
Batata doce cozida,77
Batata doce crua,118
Batata frita tipo chips industrializada,543
Batata inglesa cozida,52
Batata inglesa crua,64
Batata inglesa frita,267
Batata inglesa sauté,68
Berinjela cozida,19
Berinjela crua,20
Beterraba cozida,32
Beterraba crua,49
Biscoito polvilho doce,438
Brócolis cozido,25
Brócolis cru,25
Cará cozido,78
Cará cru,96
Caruru cru,34
Catalonha crua,24
Catalonha refogada,63
Cebola crua,39
Cebolinha crua,20
Cenoura cozida,30
Cenoura crua,34
Chicória crua,14
Chuchu cozido,19
Chuchu cru,17
Coentro folhas desidratadas,309
Couve manteiga crua,27
Couve manteiga refogada,90
Couve-flor crua,23
Couve-flor cozida,19
Espinafre Nova Zelândia cru,16
Espinafre Nova Zelândia refogado,67
Farinha de mandioca crua,361
Farinha de mandioca torrada,365
Farinha de puba,360
Fécula de mandioca,331
Feijão broto cru,39
Inhame cru,97
Jiló cru,27
Jurubeba crua,126
Mandioca cozida,125
Mandioca crua,151
Mandioca farofa temperada,406
Mandioca frita,300
Manjericão cru,21
Maxixe cru,14
Mostarda folha crua,18
Nhoque batata cozido,181
Nabo cru,18
Palmito juçara em conserva,23
Palmito pupunha em conserva,29
Pão de queijo assado,363
Pão de queijo cru,295
Pepino cru,10
Pimentão amarelo cru,28
Pimentão verde cru,21
Pimentão vermelho cru,23
Polvilho doce,351
Quiabo cru,30
Rabanete cru,14
Repolho branco cru,17
Repolho roxo cru,31
Repolho roxo refogado,42
Rúcula crua,13
Salsa crua,33
Seleta de legumes enlatada,57
Serralha crua,30
Taioba crua,34
Tomate com semente cru,15
Tomate extrato,61
Tomate molho industrializado,38
Tomate purê,28
Tomate salada,21
Vagem crua,25
Abacate cru,96
Abacaxi cru,48
Abacaxi polpa congelada,31
Abiu cru,62
Açaí polpa com xarope de guaraná e glucose,110
Açaí polpa congelada,58
Acerola crua,33
Acerola polpa congelada,22
Ameixa calda enlatada,183
Ameixa crua,53
Ameixa em calda enlatada drenada,177
Atemóia crua,97
Banana da terra crua,128
Banana doce em barra,280
Banana figo crua,105
Banana maçã crua,87
Banana nanica crua,92
Banana ouro crua,112
Banana pacova crua,78
Banana prata crua,98
Cacau cru,74
Cajá-Manga cru,46
Cajá polpa congelada,26
Caju cru,43
Caju polpa congelada,37
Caju suco concentrado envasado,45
Caqui chocolate cru,71
Carambola crua,46
Ciriguela crua,76
Cupuaçu cru,49
Cupuaçu polpa congelada,49
Figo cru,41
Figo enlatado em calda,184
Fruta-pão crua,67
Goiaba branca com casca crua,52
Goiaba doce em pasta,269
Goiaba doce cascão,286
Goiaba vermelha com casca crua,54
Graviola crua,62
Graviola polpa congelada,38
Jabuticaba crua,58
Jaca crua,88
Jambo cru,27
Jamelão cru,41
Kiwi cru,51
Laranja baía crua,45
Laranja baía suco,37
Laranja da terra crua,51
Laranja da terra suco,41
Laranja lima crua,46
Laranja lima suco,39
Laranja pêra crua,37
Laranja pêra suco,33
Laranja valência crua,46
Laranja valência suco,36
Limão cravo suco,14
Limão galego suco,22
Limão tahiti cru,32
Maçã Argentina com casca crua,63
Maçã Fuji com casca crua,56
Macaúba crua,404
Mamão doce em calda drenado,196
Mamão Formosa cru,45
Mamão Papaia cru,40
Mamão verde doce em calda drenado,209
Manga Haden crua,64
Manga Palmer crua,72
Manga polpa congelada,48
Manga Tommy Atkins crua,51
Maracujá cru,68
Maracujá polpa congelada,39
Maracujá suco concentrado envasado,42
Melancia crua,33
Melão cru,29
Mexerica Murcote crua,58
Mexerica Rio crua,37
Morango cru,30
Nêspera crua,43
Pequi cru,205
Pêra Park crua,61
Pêra Williams crua,53
Pêssego Aurora cru,36
Pêssego enlatado em calda,63
Pinha crua,88
Pitanga crua,41
Pitanga polpa congelada,19
Romã crua,56
Tamarindo cru,276
Tangerina Poncã crua,38
Tangerina Poncã suco,36
Tucumã cru,262
Umbu cru,37
Umbu polpa congelada,34
Uva Itália crua,53
Uva Rubi crua,49
Uva suco concentrado envasado,58
Azeite de dendê,884
Azeite de oliva extra virgem,884
Manteiga com sal,726
Manteiga sem sal,758
Margarina com óleo hidrogenado com sal (65% de lipídeos),596
Margarina com óleo hidrogenado sem sal (80% de lipídeos),723
Margarina com óleo interesterificado com sal (65%de lipídeos),594
Margarina com óleo interesterificado sem sal (65% de lipídeos),593
Óleo de babaçu,884
Óleo de canola,884
Óleo de girassol,884
Óleo de milho,884
Óleo de pequi,884
Óleo de soja,884
Abadejo filé congelado assado,112
Abadejo filé congeladocozido,91
Abadejo filé congelado cru,59
Abadejo filé congelado grelhado,130
Atum conserva em óleo,166
Atum fresco cru,118
Bacalhau salgado cru,136
Bacalhau salgado refogado,140
Cação posta com farinha de trigo frita,208
Cação posta cozida,116
Cação posta crua,83
Camarão Rio Grande grande cozido,90
Camarão Rio Grande grande cru,47
Camarão Sete Barbas sem cabeça com casca frito,231
Caranguejo cozido,83
Corimba cru,128
Corimbatá assado,261
Corimbatá cozido,239
Corvina de água doce crua,101
Corvina do mar crua,94
Corvina grande assada,147
Corvina grande cozida,100
Dourada de água doce fresca,131
Lambari congelado cru,131
Lambari congelado frito,327
Lambari fresco cru,152
Manjuba com farinha de trigo frita,344
Manjuba frita,349
Merluza filé assado,122
Merluza filé cru,89
Merluza filé frito,192
Pescada branca crua,111
Pescada branca frita,223
Pescada filé com farinha de trigo frito,283
Pescada filé cru,107
Pescada filé frito,154
Pescada filé molho escabeche,142
Pescadinha crua,76
Pintado assado,192
Pintado cru,91
Pintado grelhado,152
Porquinho cru,93
Salmão filé com pele fresco  grelhado,229
Salmão sem pele fresco cru,170
Salmão sem pele fresco grelhado,243
Sardinha assada,164
Sardinha conserva em óleo,285
Sardinha frita,257
Sardinha inteira crua,114
Tucunaré filé congelado cru,88
Apresuntado,129
Caldo de carne tablete,241
Caldo de galinha tablete,251
Carne bovina acém moído cozido,212
Carne bovina acém moído cru,137
Carne bovina acém sem gordura cozido,215
Carne bovina acém sem gordura cru,144
Carne bovina almôndegas cruas,189
Carne bovina almôndegas fritas,272
Carne bovina bucho cozido,133
Carne bovina bucho cru,137
Carne bovina capa de contra-filé com gordura crua,217
Carne bovina capa de contra-filé com gordura grelhada,312
Carne bovina capa de contra-filé sem gordura crua,131
Carne bovina capa de contra-filé sem gordura grelhada,239
Carne bovina charque cozido,263
Carne bovina charque cru,249
Carne bovina contra-filé à milanesa,352
Carne bovina contra-filé de costela cru,202
Carne bovina contra-filé de costela grelhado,275
Carne bovina contra-filé com gordura cru,206
Carne bovina contra-filé com gordura grelhado,278
Carne bovina contra-filé sem gordura cru,157
Carne bovina contra-filé sem gordura grelhado,194
Carne bovina costela assada,373
Carne bovina costela crua,358
Carne bovina coxão duro sem gordura cozido,217
Carne bovina coxão duro sem gordura cru,148
Carne bovina coxão mole sem gordura cozido,219
Carne bovina coxão mole sem gordura cru,169
Carne bovina cupim assado,330
Carne bovina cupim cru,221
Carne bovina fígado cru,141
Carne bovina fígado grelhado,225
Carne bovina filé mingnon sem gordura cru,143
Carne bovina filé mingnon sem gordura grelhado,220
Carne bovina flanco sem gordura cozido,196
Carne bovina flanco sem gordura cru,141
Carne bovina fraldinha com gordura cozida,338
Carne bovina fraldinha com gordura crua,221
Carne bovina lagarto cozido,222
Carne bovina lagarto cru,135
Carne bovina língua cozida,315
Carne bovina língua crua,215
Carne bovina maminha crua,153
Carne bovina maminha grelhada,153
Carne bovina miolo de alcatra sem gordura cru,163
Carne bovina miolo de alcatra sem gordura grelhado,241
Carne bovina músculo sem gordura cozido,194
Carne bovina músculo sem gordura cru,142
Carne bovina paleta com gordura crua,159
Carne bovina paleta sem gordura cozida,194
Carne bovina paleta sem gordura crua,141
Carne bovina patinho sem gordura cru,133
Carne bovina patinho sem gordura grelhado,219
Carne bovina peito sem gordura cozido,338
Carne bovina peito sem gordura cru,259
Carne bovina picanha com gordura crua,213
Carne bovina picanha com gordura grelhada,289
Carne bovina picanha sem gordura crua,134
Carne bovina picanha sem gordura grelhada,238
Carne bovina seca cozida,313
Carne bovina seca crua,313
Coxinha de frango frita,283
Croquete de carne cru,246
Croquete de carne frito,347
Empada de frango pré-cozida assada,358
Empada de frango pré-cozida,377
Frango asa com pele crua,213
Frango caipira inteiro com pele cozido,243
Frango caipira inteiro sem pele cozido,196
Frango coração cru,222
Frango coração grelhado,207
Frango coxa com pele assada,215
Frango coxa com pele crua,161
Frango coxa sem pele cozida,167
Frango coxa sem pele crua,120
Frango fígado cru,106
Frango filé à milanesa,221
Frango inteiro com pele cru,226
Frango inteiro sem pele assado,187
Frango inteiro sem pele cozido,170
Frango inteiro sem pele cru,129
Frango peito com pele assado,212
Frango peito com pele cru,149
Frango peito sem pele cozido,163
Frango peito sem pele cru,119
Frango peito sem pele grelhado,159
Frango sobrecoxa com pele assada,260
Frango sobrecoxa com pele crua,255
Frango sobrecoxa sem pele assada,233
Frango sobrecoxa sem pele crua,162
Hambúrguer bovino cru,215
Hambúrguer bovino frito,258
Hambúrguer bovino grelhado,210
Lingüiça frango crua,218
Lingüiça frango frita,245
Lingüiça frango grelhada,244
Lingüiça porco crua,227
Lingüiça porco frita,280
Lingüiça porco grelhada,296
Mortadela,269
Peru congelado assado,163
Peru congelado cru,94
Porco bisteca crua,164
Porco bisteca frita,311
Porco bisteca grelhada,280
Porco costela assada,402
Porco costela crua,256
Porco lombo assado,210
Porco lombo cru,176
Porco orelha salgada crua,258
Porco pernil assado,262
Porco pernil cru,186
Porco rabo salgado cru,377
Presunto com capa de gordura,128
Presunto sem capa de gordura,94
Quibe assado,136
Quibe cru,109
Quibe frito,254
Salame,398
Toucinho cru,593
Toucinho frito,697
Bebida láctea pêssego,55
Creme de Leite,221
Iogurte natural,51
Iogurte natural desnatado,41
Iogurte sabor abacaxi,*
Iogurte sabor morango,70
Iogurte sabor pêssego,68
Leite condensado,313
Leite de cabra,66
Leite de vaca achocolatado,83
Leite de vaca desnatado pó,362
Leite de vaca desnatado UHT,*
Leite de vaca integral,*
Leite de vaca integral pó,497
Leite fermentado,70
Queijo minas frescal,264
Queijo minas meia cura,321
Queijo mozarela,330
Queijo parmesão,453
Queijo pasteurizado,303
Queijo petit suisse morango,121
Queijo prato,360
Queijo requeijão cremoso,257
Queijo ricota,140
Bebida isotônica sabores variados,26
Café infusão 10%,9
Cana aguardente 1,216
Cana caldo de,65
Cerveja pilsen 2,41
Chá erva-doce infusão 5%,1
Chá mate infusão 5%,3
Chá preto infusão 5%,2
Coco água de,22
Refrigerante tipo água tônica,31
Refrigerante tipo cola,34
Refrigerante tipo guaraná,39
Refrigerante tipo laranja,46
Refrigerante tipo limão,40
Omelete de queijo,268
Ovo de codorna inteiro cru,177
Ovo de galinha clara cozida/10minutos,59
Ovo de galinha gema cozida/10minutos,353
Ovo de galinha inteiro cozido/10minutos,146
Ovo de galinha inteiro cru,143
Ovo de galinha inteiro frito,240
Achocolatado pó,401
Açúcar cristal,387
Açúcar mascavo,369
Açúcar refinado,387
Chocolate ao leite,540
Chocolate ao leite com castanha do Pará,559
Chocolate ao leite dietético,557
Chocolate meio amargo,475
Cocada branca,449
Doce de abóbora cremoso,199
Doce de leite cremoso,306
Geléia mocotó natural,106
Glicose de milho,292
Maria mole,301
Maria mole coco queimado,307
Marmelada,257
Mel de abelha,309
Melado,297
Quindim,411
Rapadura,352
Café pó torrado,419
Capuccino pó,417
Fermento em pó químico,90
Fermento biológico levedura tablete,90
Gelatina sabores variados pó,380
Sal dietético,NA
Sal grosso,NA
Shoyu,61
Tempero a base de sal,21
Azeitona preta conserva,194
Azeitona verde conserva,137
Chantilly spray com gordura vegetal,315
